  input = module(input)
[23/70] mean_loss : 0.35
[23/70] mean_loss : 0.35
[24/70] mean_loss : 0.33
[24/70] mean_loss : 0.35
[25/70] mean_loss : 0.35
[25/70] mean_loss : 0.35
[26/70] mean_loss : 0.35
[26/70] mean_loss : 0.35
[27/70] mean_loss : 0.35
[27/70] mean_loss : 0.35
[28/70] mean_loss : 0.34
[28/70] mean_loss : 0.35
[29/70] mean_loss : 0.34
[29/70] mean_loss : 0.35
[30/70] mean_loss : 0.35
[30/70] mean_loss : 0.35
[31/70] mean_loss : 0.30
[31/70] mean_loss : 0.31
[32/70] mean_loss : 0.27
[32/70] mean_loss : 0.29
[33/70] mean_loss : 0.28
[33/70] mean_loss : 0.29
[34/70] mean_loss : 0.29
[34/70] mean_loss : 0.29
[35/70] mean_loss : 0.30
[35/70] mean_loss : 0.29
[36/70] mean_loss : 0.30
[36/70] mean_loss : 0.29
[37/70] mean_loss : 0.28
[37/70] mean_loss : 0.29
[38/70] mean_loss : 0.27
[38/70] mean_loss : 0.29
[39/70] mean_loss : 0.27
[39/70] mean_loss : 0.29
[40/70] mean_loss : 0.28
[40/70] mean_loss : 0.29
[41/70] mean_loss : 0.32
[41/70] mean_loss : 0.29
[42/70] mean_loss : 0.31
[42/70] mean_loss : 0.29
[43/70] mean_loss : 0.28
[43/70] mean_loss : 0.29
[44/70] mean_loss : 0.24
[44/70] mean_loss : 0.26
[45/70] mean_loss : 0.29
[45/70] mean_loss : 0.24
[46/70] mean_loss : 0.24
[46/70] mean_loss : 0.23
[47/70] mean_loss : 0.18
[47/70] mean_loss : 0.22
[48/70] mean_loss : 0.24
[48/70] mean_loss : 0.20
[49/70] mean_loss : 0.19
[49/70] mean_loss : 0.19
[50/70] mean_loss : 0.16
[50/70] mean_loss : 0.17
[51/70] mean_loss : 0.14
[51/70] mean_loss : 0.16
[52/70] mean_loss : 0.15
[52/70] mean_loss : 0.15
[53/70] mean_loss : 0.11
[53/70] mean_loss : 0.15
[54/70] mean_loss : 0.14
[54/70] mean_loss : 0.14
[55/70] mean_loss : 0.14
[55/70] mean_loss : 0.14
[56/70] mean_loss : 0.11
[56/70] mean_loss : 0.14
[57/70] mean_loss : 0.14
[57/70] mean_loss : 0.14
[58/70] mean_loss : 0.13
[58/70] mean_loss : 0.14
[59/70] mean_loss : 0.11
[59/70] mean_loss : 0.13
[60/70] mean_loss : 0.11
[60/70] mean_loss : 0.13
[61/70] mean_loss : 0.10
[61/70] mean_loss : 0.13
[62/70] mean_loss : 0.12
[62/70] mean_loss : 0.12
[63/70] mean_loss : 0.12
[63/70] mean_loss : 0.10
[64/70] mean_loss : 0.13
[64/70] mean_loss : 0.08
[65/70] mean_loss : 0.06
[65/70] mean_loss : 0.05
[66/70] mean_loss : 0.03
[66/70] mean_loss : 0.03
[67/70] mean_loss : 0.02
[67/70] mean_loss : 0.02
[68/70] mean_loss : 0.01
[68/70] mean_loss : 0.01
[69/70] mean_loss : 0.01
Early Stopping!
91.5
Error occurred
[0/70] mean_loss : 3.24
[0/70] mean_loss : 0.63
[1/70] mean_loss : 0.33
[1/70] mean_loss : 0.34
[2/70] mean_loss : 0.33
[2/70] mean_loss : 0.33
[3/70] mean_loss : 0.33
[3/70] mean_loss : 0.33
[4/70] mean_loss : 0.34
[4/70] mean_loss : 0.33
[5/70] mean_loss : 0.33
[5/70] mean_loss : 0.33
[6/70] mean_loss : 0.33
[6/70] mean_loss : 0.31
[7/70] mean_loss : 0.29
[7/70] mean_loss : 0.31
[8/70] mean_loss : 0.33
[8/70] mean_loss : 0.31
[9/70] mean_loss : 0.31
[9/70] mean_loss : 0.31
[10/70] mean_loss : 0.32
[10/70] mean_loss : 0.31
[11/70] mean_loss : 0.31
[11/70] mean_loss : 0.31
[12/70] mean_loss : 0.35
[12/70] mean_loss : 0.31
[13/70] mean_loss : 0.29
[13/70] mean_loss : 0.31
[14/70] mean_loss : 0.33
[14/70] mean_loss : 0.31
[15/70] mean_loss : 0.30
[15/70] mean_loss : 0.31
[16/70] mean_loss : 0.30
[16/70] mean_loss : 0.31
[17/70] mean_loss : 0.32
